0,1,2,3,4,5,6,7,8,9,10
whole milk,pip fruit,softener,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
citrus fruit,ice cream,,,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
other vegetables,zwieback,oil,,,,,,,,
root vegetables,white wine,liquor (appetizer),,,,,,,,
frozen vegetables,onions,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
candy,soda,,,,,,,,,
frankfurter,fruit/vegetable juice,baking powder,,,,,,,,
sugar,canned vegetables,flour,bottled water,salty snack,,,,,,
sausage,grapes,light bulbs,,,,,,,,
ham,frozen meals,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
semi-finished bread,liquor (appetizer),,,,,,,,,
whole milk,softener,sliced cheese,,,,,,,,
curd cheese,canned beer,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
newspapers,domestic eggs,,,,,,,,,
soda,spread cheese,,,,,,,,,
soda,whole milk,,,,,,,,,
root vegetables,sugar,newspapers,,,,,,,,
misc. beverages,pip fruit,,,,,,,,,
other vegetables,whole milk,root vegetables,domestic eggs,,,,,,,
other vegetables,liquor (appetizer),,,,,,,,,
pork,whole milk,waffles,whole milk,sugar,,,,,,
other vegetables,soda,pickled vegetables,,,,,,,,
sausage,processed cheese,,,,,,,,,
root vegetables,candles,,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
long life bakery product,soap,,,,,,,,,
other vegetables,pot plants,,,,,,,,,
rolls/buns,butter,,,,,,,,,
newspapers,syrup,,,,,,,,,
tropical fruit,soda,,,,,,,,,
newspapers,red/blush wine,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
processed cheese,frozen potato products,Instant food products,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
sausage,bottled water,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
pork,yogurt,,,,,,,,,
pork,red/blush wine,,,,,,,,,
pork,whole milk,,,,,,,,,
abrasive cleaner,citrus fruit,whole milk,long life bakery product,,,,,,,
cake bar,white bread,newspapers,,,,,,,,
tropical fruit,sugar,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
root vegetables,margarine,,,,,,,,,
butter,whole milk,,,,,,,,,
shopping bags,rubbing alcohol,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
coffee,yogurt,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
frankfurter,shopping bags,rolls/buns,,,,,,,,
meat,UHT-milk,,,,,,,,,
pork,butter,,,,,,,,,
curd,pip fruit,,,,,,,,,
grapes,long life bakery product,,,,,,,,,
root vegetables,pastry,,,,,,,,,
yogurt,canned beer,,,,,,,,,
frozen chicken,dessert,,,,,,,,,
onions,brown bread,domestic eggs,,,,,,,,
yogurt,brown bread,,,,,,,,,
coffee,onions,,,,,,,,,
napkins,whipped/sour cream,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
root vegetables,cream,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
UHT-milk,UHT-milk,,,,,,,,,
frozen meals,sausage,flour,curd,whipped/sour cream,,,,,,
whole milk,flour,whole milk,margarine,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
frozen vegetables,citrus fruit,,,,,,,,,
UHT-milk,butter,soda,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
sausage,chewing gum,,,,,,,,,
ham,white bread,long life bakery product,,,,,,,,
cream cheese ,citrus fruit,sauces,red/blush wine,,,,,,,
yogurt,whole milk,soft cheese,,,,,,,,
whole milk,shopping bags,,,,,,,,,
soda,misc. beverages,,,,,,,,,
meat,pip fruit,beverages,soda,,,,,,,
hamburger meat,frozen potato products,whole milk,citrus fruit,semi-finished bread,napkins,,,,,
yogurt,root vegetables,,,,,,,,,
whole milk,light bulbs,,,,,,,,,
mayonnaise,misc. beverages,napkins,,,,,,,,
beef,specialty chocolate,,,,,,,,,
grapes,domestic eggs,,,,,,,,,
curd,frozen fish,,,,,,,,,
sausage,soda,,,,,,,,,
yogurt,misc. beverages,brown bread,napkins,,,,,,,
ham,white bread,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
napkins,whole milk,butter milk,,,,,,,,
pork,root vegetables,root vegetables,curd,canned vegetables,cream cheese ,fruit/vegetable juice,nut snack,,,
root vegetables,soups,decalcifier,,,,,,,,
turkey,whole milk,,,,,,,,,
margarine,brown bread,,,,,,,,,
pastry,dessert,,,,,,,,,
curd cheese,whole milk,long life bakery product,hard cheese,,,,,,,
whole milk,hamburger meat,pip fruit,curd,margarine,instant coffee,misc. beverages,,,,
whole milk,whole milk,,,,,,,,,
ham,rolls/buns,rolls/buns,chewing gum,,,,,,,
soda,frankfurter,butter,whole milk,,,,,,,
canned beer,whole milk,soda,,,,,,,,
tropical fruit,soda,UHT-milk,,,,,,,,
shopping bags,other vegetables,,,,,,,,,
soda,beverages,,,,,,,,,
white wine,condensed milk,,,,,,,,,
other vegetables,tropical fruit,onions,cream cheese ,root vegetables,root vegetables,yogurt,,,,
other vegetables,rolls/buns,,,,,,,,,
pip fruit,dog food,soft cheese,packaged fruit/vegetables,pastry,domestic eggs,,,,,
bottled water,butter milk,,,,,,,,,
sausage,other vegetables,,,,,,,,,
beverages,domestic eggs,soda,butter milk,,,,,,,
pork,yogurt,,,,,,,,,
pork,bottled water,tea,,,,,,,,
soda,yogurt,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
other vegetables,dishes,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
berries,bottled beer,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
bottled beer,newspapers,napkins,,,,,,,,
chicken,whole milk,vinegar,shopping bags,,,,,,,
canned vegetables,popcorn,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
pip fruit,domestic eggs,seasonal products,,,,,,,,
sausage,frozen fruits,,,,,,,,,
rolls/buns,male cosmetics,liquor (appetizer),,,,,,,,
pet care,bottled water,soda,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
sausage,butter,,,,,,,,,
frozen meals,instant coffee,specialty chocolate,,,,,,,,
whole milk,other vegetables,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
sausage,yogurt,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
rice,coffee,,,,,,,,,
sausage,photo/film,,,,,,,,,
rolls/buns,soda,,,,,,,,,
sausage,napkins,,,,,,,,,
root vegetables,coffee,,,,,,,,,
domestic eggs,roll products ,,,,,,,,,
frankfurter,seasonal products,rolls/buns,,,,,,,,
onions,pastry,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
canned beer,cereals,,,,,,,,,
citrus fruit,beverages,pasta,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
brown bread,shopping bags,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
beef,butter,,,,,,,,,
specialty cheese,napkins,,,,,,,,,
frankfurter,chocolate,,,,,,,,,
domestic eggs,root vegetables,,,,,,,,,
yogurt,waffles,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
whole milk,whole milk,bottled water,,,,,,,,
yogurt,root vegetables,,,,,,,,,
ham,cream cheese ,other vegetables,oil,candy,,,,,,
flower soil/fertilizer,whole milk,,,,,,,,,
rolls/buns,brandy,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
canned beer,whole milk,,,,,,,,,
whole milk,grapes,,,,,,,,,
sweet spreads,coffee,,,,,,,,,
white bread,yogurt,,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
frankfurter,bottled beer,domestic eggs,,,,,,,,
cream cheese ,semi-finished bread,,,,,,,,,
whole milk,bottled water,coffee,,,,,,,,
condensed milk,other vegetables,softener,,,,,,,,
whole milk,grapes,chocolate,pot plants,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
other vegetables,newspapers,soda,,,,,,,,
yogurt,detergent,,,,,,,,,
curd,red/blush wine,,,,,,,,,
whole milk,frankfurter,whole milk,curd,canned vegetables,,,,,,
canned beer,root vegetables,whole milk,whole milk,newspapers,,,,,,
pork,meat,,,,,,,,,
sugar,UHT-milk,margarine,,,,,,,,
hamburger meat,rolls/buns,beverages,dessert,whole milk,domestic eggs,yogurt,soda,,,
photo/film,whole milk,,,,,,,,,
dessert,fruit/vegetable juice,napkins,,,,,,,,
soda,whole milk,,,,,,,,,
frankfurter,frankfurter,butter,domestic eggs,margarine,other vegetables,,,,,
zwieback,specialty chocolate,,,,,,,,,
grapes,canned beer,frozen dessert,sugar,detergent,,,,,,
UHT-milk,beverages,,,,,,,,,
tropical fruit,chicken,onions,packaged fruit/vegetables,,,,,,,
whole milk,shopping bags,,,,,,,,,
white bread,photo/film,,,,,,,,,
whole milk,other vegetables,ice cream,,,,,,,,
chocolate,ice cream,,,,,,,,,
newspapers,whipped/sour cream,bottled water,curd cheese,,,,,,,
sausage,pip fruit,,,,,,,,,
berries,domestic eggs,,,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
sauces,rolls/buns,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
other vegetables,dishes,,,,,,,,,
shopping bags,soda,,,,,,,,,
flour,chocolate marshmallow,,,,,,,,,
sausage,whole milk,whipped/sour cream,domestic eggs,,,,,,,
brown bread,bottled water,,,,,,,,,
sausage,berries,pasta,,,,,,,,
pork,salty snack,sliced cheese,,,,,,,,
bottled beer,grapes,candy,,,,,,,,
rolls/buns,meat,whole milk,domestic eggs,white bread,domestic eggs,,,,,
whole milk,processed cheese,curd,,,,,,,,
canned beer,beverages,specialty bar,other vegetables,make up remover,specialty chocolate,curd,,,,
sausage,dog food,,,,,,,,,
onions,hygiene articles,,,,,,,,,
soda,ice cream,,,,,,,,,
whole milk,berries,,,,,,,,,
other vegetables,curd,,,,,,,,,
beef,curd,,,,,,,,,
sausage,frozen dessert,,,,,,,,,
tropical fruit,spices,,,,,,,,,
bottled water,processed cheese,,,,,,,,,
canned beer,pip fruit,frozen vegetables,dessert,canned vegetables,,,,,,
soda,sausage,whole milk,beverages,shopping bags,,,,,,
whole milk,whole milk,,,,,,,,,
waffles,margarine,,,,,,,,,
misc. beverages,salt,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
frozen meals,cake bar,,,,,,,,,
rolls/buns,tropical fruit,salt,butter,whole milk,canned vegetables,domestic eggs,,,,
napkins,white bread,,,,,,,,,
brown bread,salt,,,,,,,,,
citrus fruit,sugar,specialty chocolate,,,,,,,,
fruit/vegetable juice,pip fruit,,,,,,,,,
frozen vegetables,bottled water,,,,,,,,,
hamburger meat,candy,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
waffles,brown bread,,,,,,,,,
tropical fruit,flour,,,,,,,,,
berries,white bread,,,,,,,,,
UHT-milk,margarine,,,,,,,,,
ham,pastry,whole milk,specialty bar,tropical fruit,hard cheese,yogurt,candy,,,
whole milk,root vegetables,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
white bread,specialty chocolate,,,,,,,,,
grapes,bottled beer,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
whole milk,bottled water,,,,,,,,,
sausage,nuts/prunes,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
bottled beer,margarine,,,,,,,,,
butter milk,pip fruit,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
bottled beer,shopping bags,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
sliced cheese,newspapers,dog food,fruit/vegetable juice,rolls/buns,butter,hygiene articles,yogurt,,,
bottled water,herbs,,,,,,,,,
tropical fruit,yogurt,sausage,rolls/buns,,,,,,,
sausage,bottled water,,,,,,,,,
dessert,yogurt,,,,,,,,,
canned beer,berries,bottled water,,,,,,,,
butter,sweet spreads,sliced cheese,,,,,,,,
yogurt,salty snack,,,,,,,,,
soda,sausage,root vegetables,pork,whole milk,vinegar,other vegetables,domestic eggs,shopping bags,,
tropical fruit,whole milk,,,,,,,,,
curd cheese,other vegetables,herbs,fruit/vegetable juice,zwieback,,,,,,
pip fruit,tropical fruit,frozen potato products,sweet spreads,chocolate,napkins,candles,seasonal products,,,
citrus fruit,other vegetables,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
sausage,rolls/buns,rolls/buns,rolls/buns,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
ice cream,yogurt,,,,,,,,,
pork,pastry,,,,,,,,,
chocolate,whole milk,yogurt,,,,,,,,
yogurt,white bread,,,,,,,,,
whole milk,flour,,,,,,,,,
pip fruit,specialty chocolate,,,,,,,,,
whole milk,bathroom cleaner,,,,,,,,,
root vegetables,candy,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
whole milk,chocolate,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
whole milk,dog food,pastry,,,,,,,,
sausage,salt,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
citrus fruit,specialty bar,,,,,,,,,
ham,brown bread,,,,,,,,,
chocolate,root vegetables,,,,,,,,,
meat,shopping bags,,,,,,,,,
sausage,other vegetables,,,,,,,,,
other vegetables,soda,,,,,,,,,
pasta,sausage,rolls/buns,root vegetables,flower (seeds),,,,,,
oil,UHT-milk,,,,,,,,,
tropical fruit,candy,fruit/vegetable juice,,,,,,,,
pip fruit,shopping bags,butter,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
frankfurter,chicken,butter,bottled water,,,,,,,
yogurt,tropical fruit,whipped/sour cream,Instant food products,,,,,,,
berries,grapes,other vegetables,,,,,,,,
whole milk,white bread,canned beer,brown bread,fruit/vegetable juice,,,,,,
curd,zwieback,,,,,,,,,
hamburger meat,beef,bottled beer,whole milk,chocolate,,,,,,
rolls/buns,seasonal products,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
rolls/buns,rum,,,,,,,,,
frozen meals,canned vegetables,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
ham,napkins,,,,,,,,,
chicken,soda,,,,,,,,,
pastry,bottled beer,,,,,,,,,
specialty bar,bottled water,dental care,,,,,,,,
cleaner,chewing gum,,,,,,,,,
chicken,nut snack,whole milk,newspapers,soft cheese,yogurt,spices,condensed milk,,,
dessert,other vegetables,,,,,,,,,
soda,shopping bags,,,,,,,,,
canned beer,sugar,,,,,,,,,
newspapers,other vegetables,shopping bags,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
grapes,other vegetables,,,,,,,,,
sweet spreads,rolls/buns,,,,,,,,,
chicken,shopping bags,,,,,,,,,
pip fruit,margarine,,,,,,,,,
whole milk,soda,yogurt,,,,,,,,
other vegetables,rolls/buns,rolls/buns,whole milk,newspapers,,,,,,
rolls/buns,soda,snack products,long life bakery product,,,,,,,
other vegetables,chicken,popcorn,margarine,,,,,,,
